Date,MIXFOG04,MIXFOG05,MIXFOG06,VTFOG06,VTFOG07,VTFOG08,MIXFOG09
01/01/2025,0,0,0,0,0,0,0
02/01/2025,0,0,0,0,0,0,0
03/01/2025,0,0,0,0,0,0,0
04/01/2025,0,0,0,0,0,0,0
05/01/2025,0,0,0,0,0,0,0
06/01/2025,15,15,0,15,15,15,15
07/01/2025,24,24,0,24,24,24,24
08/01/2025,24,24,0,24,24,24,24
09/01/2025,24,24,0,24,24,24,24
10/01/2025,24,24,0,24,24,24,24
11/01/2025,11,11,0,11,11,11,11
12/01/2025,0,0,0,0,0,0,0
13/01/2025,15,15,0,15,15,15,15
14/01/2025,24,24,0,24,24,24,24
15/01/2025,24,24,0,24,24,24,24
16/01/2025,24,24,0,24,24,24,24
17/01/2025,24,24,0,24,24,24,24
18/01/2025,11,11,0,11,11,11,11
19/01/2025,0,0,0,0,0,0,0
20/01/2025,0,0,0,0,0,0,0
21/01/2025,15,15,0,15,15,15,15
22/01/2025,24,24,0,24,24,24,24
23/01/2025,24,24,0,24,24,24,24
24/01/2025,24,24,0,24,24,24,24
25/01/2025,11,11,0,11,11,11,11
26/01/2025,0,0,0,0,0,0,0
27/01/2025,15,15,0,15,15,15,15
28/01/2025,24,24,0,24,24,24,24
29/01/2025,24,24,0,24,24,24,24
30/01/2025,24,24,0,24,24,24,24
31/01/2025,24,24,0,24,24,24,24
01/02/2025,11,11,0,11,11,11,11
02/02/2025,0,0,0,0,0,0,0
03/02/2025,15,15,0,15,15,15,15
04/02/2025,24,24,0,24,24,24,24
05/02/2025,24,24,0,24,24,24,24
06/02/2025,24,24,0,24,24,24,24
07/02/2025,24,24,0,24,24,24,24
08/02/2025,5,5,0,5,5,5,5
09/02/2025,0,0,0,0,0,0,0
10/02/2025,15,15,0,15,15,15,15
11/02/2025,24,24,0,24,24,24,24
12/02/2025,24,24,0,24,24,24,24
13/02/2025,24,24,0,24,24,24,24
14/02/2025,24,24,0,24,24,24,24
15/02/2025,5,5,0,5,5,5,5
16/02/2025,0,0,0,0,0,0,0
17/02/2025,15,15,0,15,15,15,15
18/02/2025,24,24,0,24,24,24,24
19/02/2025,24,24,0,24,24,24,24
20/02/2025,24,24,0,24,24,24,24
21/02/2025,24,24,0,24,24,24,24
22/02/2025,5,5,0,5,5,5,5
23/02/2025,0,0,0,0,0,0,0
24/02/2025,15,15,0,15,15,15,15
25/02/2025,24,24,0,24,24,24,24
26/02/2025,24,24,0,24,24,24,24
27/02/2025,24,24,0,24,24,24,24
28/02/2025,24,24,0,24,24,24,24
01/03/2025,5,5,0,5,5,5,5
02/03/2025,0,0,0,0,0,0,0
03/03/2025,0,0,0,0,0,0,0
04/03/2025,0,0,0,0,0,0,0
05/03/2025,15,15,0,15,15,15,15
06/03/2025,24,24,0,24,24,24,24
07/03/2025,24,24,0,24,24,24,24
08/03/2025,11,11,0,11,11,11,11
09/03/2025,0,0,0,0,0,0,0
10/03/2025,15,15,0,15,15,15,15
11/03/2025,24,24,0,24,24,24,24
12/03/2025,24,24,0,24,24,24,24
13/03/2025,24,24,0,24,24,24,24
14/03/2025,24,24,0,24,24,24,24
15/03/2025,11,11,0,11,11,11,11
16/03/2025,0,0,0,0,0,0,0
17/03/2025,15,15,0,15,15,15,15
18/03/2025,24,24,0,24,24,24,24
19/03/2025,24,24,0,24,24,24,24
20/03/2025,24,24,0,24,24,24,24
21/03/2025,24,24,0,24,24,24,24
22/03/2025,11,11,0,11,11,11,11
23/03/2025,0,0,0,0,0,0,0
24/03/2025,15,15,0,15,15,15,15
25/03/2025,24,24,0,24,24,24,24
26/03/2025,24,24,0,24,24,24,24
27/03/2025,24,24,0,24,24,24,24
28/03/2025,24,24,0,24,24,24,24
29/03/2025,11,11,0,11,11,11,11
30/03/2025,0,0,0,0,0,0,0
31/03/2025,0,0,0,0,0,0,0
01/04/2025,15,15,24,15,15,15,15
02/04/2025,24,24,24,24,24,24,24
03/04/2025,24,24,24,24,24,24,24
04/04/2025,24,24,11,24,24,24,24
05/04/2025,13,13,0,13,13,13,13
06/04/2025,0,0,0,0,0,0,0
07/04/2025,15,15,15,15,15,15,15
08/04/2025,24,24,24,24,24,24,24
09/04/2025,24,24,24,24,24,24,24
10/04/2025,24,24,24,24,24,24,24
11/04/2025,24,24,13,24,24,24,24
12/04/2025,13,13,0,13,13,13,13
13/04/2025,15,15,15,0,0,15,15
14/04/2025,15,15,24,15,15,15,15
15/04/2025,24,24,24,24,24,24,24
16/04/2025,24,24,24,24,24,24,24
17/04/2025,24,24,24,24,24,24,24
18/04/2025,13,13,13,13,13,13,13
19/04/2025,0,0,0,0,0,0,0
20/04/2025,0,0,15,0,0,15,15
21/04/2025,15,15,24,15,15,15,15
22/04/2025,24,24,24,24,24,24,24
23/04/2025,24,24,24,24,24,24,24
24/04/2025,24,24,13,24,24,24,24
25/04/2025,5,5,0,5,5,5,5
26/04/2025,0,0,0,0,0,0,0
27/04/2025,15,0,15,0,0,15,15
28/04/2025,22,22,24,22,22,22,22
29/04/2025,24,24,24,24,24,24,24
30/04/2025,24,24,24,24,24,24,24
01/05/2025,5,5,5,5,5,5,5
02/05/2025,8,8,0,8,8,8,8
03/05/2025,0,0,0,0,0,0,0
04/05/2025,0,0,22,0,0,0,22
05/05/2025,15,15,24,15,15,15,15
06/05/2025,24,24,24,24,24,24,24
07/05/2025,24,24,5,24,24,24,24
08/05/2025,24,24,8,24,24,24,24
09/05/2025,24,24,0,24,24,24,24
10/05/2025,5,5,0,5,5,5,5
11/05/2025,0,0,15,0,0,0,15
12/05/2025,15,15,24,15,15,15,15
13/05/2025,24,24,24,24,24,24,24
14/05/2025,24,24,24,24,24,24,24
15/05/2025,24,24,24,24,24,24,24
16/05/2025,24,24,5,24,24,24,24
17/05/2025,5,0,0,0,5,0,5
18/05/2025,15,0,15,0,0,0,15
19/05/2025,15,15,24,15,15,15,15
20/05/2025,24,24,24,24,24,24,24
21/05/2025,24,24,24,24,24,24,24
22/05/2025,24,24,24,24,24,24,24
23/05/2025,24,24,0,24,24,24,24
24/05/2025,5,5,0,5,5,5,5
25/05/2025,0,0,15,0,0,0,15
26/05/2025,15,15,24,15,15,15,15
27/05/2025,24,24,24,24,24,24,24
28/05/2025,24,24,24,24,24,24,24
29/05/2025,24,24,24,24,24,24,24
30/05/2025,24,24,5,24,24,24,24
31/05/2025,5,5,0,5,5,5,5
01/06/2025,0,0,0,0,0,0,0
02/06/2025,15,15,0,15,15,15,15
03/06/2025,24,24,0,24,24,24,24
04/06/2025,24,24,0,24,24,24,24
05/06/2025,24,0,0,24,0,24,24
06/06/2025,24,0,0,24,0,24,24
07/06/2025,5,0,0,5,0,5,5
08/06/2025,0,0,0,0,0,0,0
09/06/2025,0,0,0,0,0,0,0
10/06/2025,0,0,0,0,0,0,0
11/06/2025,15,15,0,0,15,15,15
12/06/2025,24,24,0,24,24,0,24
13/06/2025,24,24,0,24,24,24,24
14/06/2025,5,5,0,5,5,5,5
15/06/2025,0,0,0,0,0,0,0
16/06/2025,15,15,0,15,15,15,15
17/06/2025,24,24,0,24,24,24,24
18/06/2025,24,24,0,24,24,24,24
19/06/2025,6,6,0,6,6,6,6
20/06/2025,0,0,0,0,0,0,0
21/06/2025,0,0,0,0,0,0,0
22/06/2025,0,0,0,0,0,0,0
23/06/2025,15,15,0,15,15,15,15
24/06/2025,24,24,0,24,24,24,24
25/06/2025,24,24,0,24,24,24,24
26/06/2025,24,24,0,24,24,24,24
27/06/2025,24,24,0,24,24,24,24
28/06/2025,11,11,0,11,11,11,11
29/06/2025,0,0,0,0,0,0,0
30/06/2025,0,0,0,0,0,0,0
01/07/2025,15,15,0,15,15,15,15
02/07/2025,24,24,0,24,24,24,24
03/07/2025,24,24,0,24,24,24,24
04/07/2025,24,24,0,24,24,24,24
05/07/2025,6,6,0,6,6,6,6
06/07/2025,0,0,0,0,0,0,0
07/07/2025,15,15,0,15,15,15,15
08/07/2025,24,24,0,24,24,24,24
09/07/2025,24,24,0,24,24,24,24
10/07/2025,24,24,0,24,24,24,24
11/07/2025,24,24,0,24,24,24,24
12/07/2025,6,6,0,6,6,6,6
13/07/2025,0,0,0,0,0,0,0
14/07/2025,15,15,0,15,15,15,15
15/07/2025,24,24,0,24,24,24,24
16/07/2025,24,24,0,24,24,24,24
17/07/2025,24,24,0,24,24,24,24
18/07/2025,24,24,0,24,24,24,24
19/07/2025,6,6,0,6,6,6,6
20/07/2025,0,0,0,0,0,0,0
21/07/2025,15,15,0,15,15,15,15
22/07/2025,24,24,0,24,24,24,24
23/07/2025,24,24,0,24,24,24,24
24/07/2025,24,24,0,24,24,24,24
25/07/2025,24,24,0,24,24,24,24
26/07/2025,6,6,0,6,6,6,6
27/07/2025,0,0,0,0,0,0,0
28/07/2025,15,15,0,15,15,15,15
29/07/2025,24,24,0,24,24,24,24
30/07/2025,24,24,0,24,24,24,24
31/07/2025,24,24,0,24,24,24,24
